,Titres,"[Formats, Prix]",Nombre de pages Format Broché,Taille du fichier Kindle,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
100,Le meilleur régime du monde: Le meilleur régime du monde : Dietary Approaches to Stop Hypertension,"['Format Kindle 12,99', 'Broché 18,00']",384,1613 KB,None,None,14.81 x 2.21 x 20.8 cm,None,None,"4,0",109,https://www.amazon.fr//DASH-meilleur-Dietary-Approaches-Hypertension/dp/B011QKRTIS/ref=sr_1_99?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-99
101,"En 1 heure, je cuisine mes lunchs box pour toute la semaine","['Broché 19,95']",160,None,None,None,19.7 x 1.7 x 25 cm,None,None,"4,3",218,https://www.amazon.fr//heure-cuisine-lunchs-toute-semaine/dp/2017084581/ref=sr_1_100?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-100
102,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg6_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_101_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672778%26s%3Dbooks%26sr%3D1-101-spons%26psc%3D1&qualifier=1618672778&id=5109222235023676&widgetName=sp_btf
103,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg6_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_102_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672778%26s%3Dbooks%26sr%3D1-102-spons%26psc%3D1&qualifier=1618672778&id=5109222235023676&widgetName=sp_btf
104,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg7_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_97_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672780%26s%3Dbooks%26sr%3D1-97-spons%26psc%3D1&qualifier=1618672780&id=4197223648110883&widgetName=sp_atf_next
105,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg7_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_98_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672780%26s%3Dbooks%26sr%3D1-98-spons%26psc%3D1&qualifier=1618672780&id=4197223648110883&widgetName=sp_atf_next
106,Eau Détox🍹| Mincir et Purifier son Organisme avec 30+ Recettes Simples et Rapides. 3ème Édition,"['Format Kindle  2,99', 'Broché 11,98']",67,: Illimité,None,None,20.32 x 0.41 x 25.4 cm,None,None,"4,5",13,https://www.amazon.fr//D%C3%A9tox%F0%9F%8D%B9-Purifier-Organisme-Recettes-Rapides/dp/1698628943/ref=sr_1_99?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-99
107,"Recettes Jeûne Intermittent: Une collection des meilleures recettes fasting pour réussir votre jeûne intermittent et atteindre vos objectifs (recettes minceur et gourmandes, recettes cétogènes faciles","['Format Kindle 3,99', 'Broché 9,99']",50,,None,None,20.32 x 0.3 x 25.4 cm,None,None,"3,5",2,https://www.amazon.fr//Recettes-Je%C3%BBne-Intermittent-collection-intermittent/dp/B08XH2JRJY/ref=sr_1_100?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-100
108,Programmez votre cerveau minceur: 21 jours pour maigrir avec les neurosciences,"['Broché 19,50']",288,None,None,None,15.5 x 2.4 x 24 cm,None,None,"4,0",101,https://www.amazon.fr//Programmez-votre-cerveau-minceur-neurosciences/dp/2226393544/ref=sr_1_101?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-101
109,Cuisine légère NE - 1001 recettes,"['Relié 9,95']",None,None,None,416,None,None,15.3 x 4.1 x 15.4 cm,"3,9",38,https://www.amazon.fr//Cuisine-l%C3%A9g%C3%A8re-NE-1001-recettes/dp/2263149252/ref=sr_1_102?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-102
110,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg7_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_103_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672780%26s%3Dbooks%26sr%3D1-103-spons%26psc%3D1&qualifier=1618672780&id=4197223648110883&widgetName=sp_mtf
111,Régime Keto pour débutants: Défi de 21 jours pour convertir votre corps en une machine à brûler les graisses pour vivre plus sainement + 75 Recettes Cétogènes Adaptées (Régime Cétogène),"['Broché 7,99', 'Format Kindle 3,99']",138,,None,None,20.32 x 0.81 x 25.4 cm,None,None,"3,8",60,https://www.amazon.fr//R%C3%A9gime-Keto-pour-d%C3%A9butants-convertir/dp/1713287668/ref=sr_1_104?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-104
112,"Mon planificateur de menus: Organise, suis et planifie tes menus de la semaine : Un journal, carnet de bord, agenda et suivi alimentaire sur 52 ... de courses : Couverture de fruits 2292","['Broché 5,99']",108,None,None,None,19.05 x 0.64 x 23.5 cm,None,None,"4,4",324,https://www.amazon.fr//Mon-planificateur-menus-alimentaire-Couverture/dp/1700812297/ref=sr_1_105?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-105
113,Les Recettes minceur de Sybille Montignac,"['Broché 18,50']",240,None,None,None,16.7 x 2.2 x 24 cm,None,None,"3,9",21,https://www.amazon.fr//Recettes-minceur-Sybille-Montignac/dp/2359344307/ref=sr_1_106?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-106
114,Carnet suivi perte de poids | Fitness Edition - 365 jours suivi simple et efficace : Suivre chaque jour l’évolution de vos objectifs minceur ou santé,"['Broché 6,93']",53,None,None,None,17.78 x 0.3 x 25.4 cm,None,None,"3,9",3,https://www.amazon.fr//Carnet-suivi-perte-poids-Fitness/dp/B08HGNS644/ref=sr_1_107?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-107
115,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg7_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_108_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672780%26s%3Dbooks%26sr%3D1-108-spons%26psc%3D1&qualifier=1618672780&id=4197223648110883&widgetName=sp_mtf
116,Régime Cétogène: Challenge 14 jours,"['Format Kindle 2,99', 'Broché 6,99']",79,,None,None,12.7 x 0.46 x 20.32 cm,None,None,"3,8",124,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-Challenge-14-jours/dp/1975651332/ref=sr_1_109?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-109
117,Recettes Minceur avec Thermomix,"['Broché 9,39', 'Format Kindle 4,90']",90,: Illimité,None,None,15.24 x 0.53 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Recettes-Minceur-Thermomix-Catherine-Desnoy/dp/B08YQVB1N9/ref=sr_1_110?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-110
118,"MES 100 JUS DETOX RECETTE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I ... I concombre I brule graisse I Maigrir","['Broché 9,40']",105,None,None,None,21.59 x 0.69 x 27.94 cm,None,None,None,None,https://www.amazon.fr//MES-100-DETOX-RECETTE-MINCEUR/dp/B08BWGQ84K/ref=sr_1_111?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-111
119,"Mon Carnet de recettes: Livre de recettes à écrire | Carnet personnalisé pour 50 recettes de cuisine à remplir | 2 pages par recette |Grand Format 21,59 cm x 27,94 cm [ Idée cadeau à offrir","['Broché 6,99']",104,None,None,None,21.59 x 0.61 x 27.94 cm,None,None,"4,8",23,https://www.amazon.fr//Mon-Carnet-recettes-personnalis%C3%A9-cuisine/dp/B08992BD7F/ref=sr_1_112?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-112
120,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg7_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_113_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672780%26s%3Dbooks%26sr%3D1-113-spons%26psc%3D1&qualifier=1618672780&id=4197223648110883&widgetName=sp_mtf
121,"MES 100 RECETTES de CUISINE MINDEUR A compléter, cuisiner et savoure: Livre de recettes à écrire soi-même I Carnet du Fait MaisonI DIY I Cétogène I ... II Batch Cooking I Vegan I Végétarien","['Broché 9,38']",105,None,None,None,21.59 x 0.69 x 27.94 cm,None,None,None,None,https://www.amazon.fr//RECETTES-CUISINE-MINDEUR-compl%C3%A9ter-cuisiner/dp/B08BDZ2HFB/ref=sr_1_114?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-114
122,"Mon planificateur de menus: Organise, suis et planifie tes menus de la semaine : Un journal, carnet de bord, agenda et suivi alimentaire sur 52 ... de courses : Couverture de légumes 2148","['Broché 5,99']",108,None,None,None,19.05 x 0.64 x 23.5 cm,None,None,"4,4",460,https://www.amazon.fr//Mon-planificateur-menus-alimentaire-Couverture/dp/1700812149/ref=sr_1_115?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-115
123,Objectif ventre plat 5 minutes par jour pendant 1 mois,"['Broché 12,95']",127,None,None,None,16.7 x 1.2 x 21.6 cm,None,None,"4,3",170,https://www.amazon.fr//Objectif-ventre-plat-minutes-pendant/dp/2755640871/ref=sr_1_116?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-116
124,Simplissime desserts: Le livre de desserts les + faciles du monde,"['Format Kindle 10,99', 'Relié 14,95']",None,68379 KB,None,288,None,None,20.5 x 3.4 x 25.5 cm,"4,5",522,https://www.amazon.fr//Simplissime-desserts-livre-faciles-monde/dp/2011356431/ref=sr_1_117?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-117
125,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg7_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_118_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672780%26s%3Dbooks%26sr%3D1-118-spons%26psc%3D1&qualifier=1618672780&id=4197223648110883&widgetName=sp_btf
126,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg8_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_113_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672781%26s%3Dbooks%26sr%3D1-113-spons%26psc%3D1&qualifier=1618672781&id=7991402725638991&widgetName=sp_atf_next
127,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg8_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_114_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672781%26s%3Dbooks%26sr%3D1-114-spons%26psc%3D1&qualifier=1618672781&id=7991402725638991&widgetName=sp_atf_next
128,Les recettes minceur de la coach des stars,"['Broché 15,55']",212,None,None,None,15.2 x 1.23 x 22.9 cm,None,None,"3,8",38,https://www.amazon.fr//recettes-minceur-coach-stars/dp/0615137520/ref=sr_1_115?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-115
129,Mes Jus de Légumes - recettes à l'extracteur: Carnet de recettes à compléter de vos 100 jus de légumes et fruits préférés | livre de 60 pages | format 15.24 x 22.86 cm,"['Broché 5,99']",59,None,None,None,15.24 x 0.36 x 22.86 cm,None,None,"1,0",2,https://www.amazon.fr//Mes-Jus-L%C3%A9gumes-lextracteur-compl%C3%A9ter/dp/B085RTKHJ5/ref=sr_1_116?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-116
130,Mon cahier minceur printemps-été,"['Broché 7,90']",96,None,None,None,17.2 x 0.9 x 22.2 cm,None,None,"4,4",35,https://www.amazon.fr//cahier-minceur-printemps-%C3%A9t%C3%A9-H%C3%A9l%C3%A8ne-DEFRETIN/dp/226317043X/ref=sr_1_117?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-117
131,"Plats gourmands, vapeur douce: 120 recettes simples et bluffantes","['Format Kindle 13,99', 'Relié 19,90']",None,40405 KB,None,160,None,None,22.3 x 1.7 x 25.5 cm,"4,6",128,https://www.amazon.fr//Plats-gourmands-vapeur-douce-bluffantes/dp/2226453342/ref=sr_1_118?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-118
132,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg8_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_119_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672781%26s%3Dbooks%26sr%3D1-119-spons%26psc%3D1&qualifier=1618672781&id=7991402725638991&widgetName=sp_mtf
133,Fastgood Cuisine - Healthy et gourmand,"['Relié 14,95']",None,None,None,126,None,None,18.7 x 1.8 x 22.8 cm,"4,5",296,https://www.amazon.fr//Fastgood-Cuisine-gourmand-Charles-Gilles-compagnon/dp/2749940567/ref=sr_1_120?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-120
134,Mes petites recettes magiques sans gluten et sans lactose,"['Broché 6,00', 'Poche 13,25']",246,None,None,None,17.9 x 1.6 x 11 cm,LEDUC.S (1 janvier 1905),None,"4,2",383,https://www.amazon.fr//petites-recettes-magiques-gluten-lactose/dp/B0789TBXGT/ref=sr_1_121?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-121
135,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-Perdre-jusqu%C3%A0-quelques/dp/1975650492/ref=sr_1_122?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-122
136,"Jus de Fruits et de Legumes Crus: 57 recettes faciles et un Guide Pratique Complet pour améliorer votre alimentation : Santé, Vitalité et Minceur, ... sans extracteur, FACILEMENT ET DURABLEMENT.","['Format Kindle 2,99', 'Broché 14,99']",198,455 KB,None,None,15.24 x 1.14 x 22.86 cm,None,None,"3,9",110,https://www.amazon.fr//Jus-Fruits-Legumes-Crus-alimentation/dp/2955413305/ref=sr_1_123?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-123
137,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg8_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_124_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672781%26s%3Dbooks%26sr%3D1-124-spons%26psc%3D1&qualifier=1618672781&id=7991402725638991&widgetName=sp_mtf
138,Recettes légères et gourmandes avec Steam up,"['Broché 9,95']",168,None,None,None,18.5 x 1.5 x 23.5 cm,None,None,"4,5",49,https://www.amazon.fr//Recettes-l%C3%A9g%C3%A8res-gourmandes-avec-Steam/dp/2035970210/ref=sr_1_125?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-125
139,LE REGIME IG BAS,"['Format Kindle 14,99', 'Relié 19,95']",None,66141 KB,None,224,None,None,19.7 x 2.4 x 25.3 cm,"4,4",114,https://www.amazon.fr//REGIME-BAS-Marie-Laure-Andr%C3%A9/dp/2017084484/ref=sr_1_126?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-126
140,Bowl cakes mini-sucre,"['Broché 7,95', 'Format Kindle 5,99']",80,18254 KB,None,None,17 x 0.9 x 23.5 cm,None,None,"4,3",9,https://www.amazon.fr//Bowl-cakes-mini-sucre-Emmanuelle-Levesque/dp/2035990955/ref=sr_1_127?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-127
141,Régime IG - Perdez 3 kilos dès la première semaine,"['Broché 8,00']",135,None,None,None,14.4 x 1.4 x 21.1 cm,None,None,"3,8",89,https://www.amazon.fr//R%C3%A9gime-IG-Perdez-premi%C3%A8re-semaine/dp/2359344765/ref=sr_1_128?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-128
142,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg8_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_129_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672781%26s%3Dbooks%26sr%3D1-129-spons%26psc%3D1&qualifier=1618672781&id=7991402725638991&widgetName=sp_mtf
143,Batch Cooking équilibre,"['Relié 20,00']",None,None,None,171,None,None,17.8 x 2.3 x 24.8 cm,"4,2",94,https://www.amazon.fr//Batch-Cooking-%C3%A9quilibre-Pascale-Weeks/dp/2379450110/ref=sr_1_130?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-130
144,"Mon cahier bowl cake: Répertoire de vos recettes + 100 fiches illustrées et faciles à remplir pour la préparation de vos Bow Cakes  - gourmandise healthy - taille A4 = 21 x 29,7 cm","['Broché 7,85']",105,None,None,None,21.01 x 0.69 x 29.69 cm,None,None,"5,0",1,https://www.amazon.fr//Mon-cahier-bowl-cake-pr%C3%A9paration/dp/B0863QDBNY/ref=sr_1_131?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-131
145,Recettes minceur: Cahier de recettes de régime à remplir – journal de recettes Très complètes et prêtes à remplir + répertoire - carnet de recette de ... - mes recettes mon cahier de recettes,"['Broché 3,99']",100,None,None,None,15.24 x 0.58 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Recettes-minceur-recettes-compl%C3%A8tes-r%C3%A9pertoire/dp/B088BDSY6Y/ref=sr_1_132?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-132
146,Mes petites recettes magiques - Soupes,"['Poche  68,17', 'Broché 6,00']",223,None,None,None,17.8 x 1.5 x 11 cm,Leduc.S (1 janvier 2018),None,"4,2",135,https://www.amazon.fr//Mes-petites-recettes-magiques-soupes/dp/B0754521CY/ref=sr_1_133?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-133
